id,"file","tag","English","Français"
1291,"account/marketplaces","contact.title","Exportation to :marketplace requires custom configuration"
1373,"account/marketplaces","country","Country"
930,"account/marketplaces","empty","No platforms found"
936,"account/marketplaces","enabled","Enabled"
1374,"account/marketplaces","export_all","Include all properties"
1375,"account/marketplaces","export_all.warning","This feed includes all properties"
1371,"account/marketplaces","exported","Exported"
1817,"account/marketplaces","exported_info","It shows the properties that will be send to the export platform. If the property is published or not it depends on the external platform rules. You can check if a property meet the platform rules on the edit section of the property."
939,"account/marketplaces","feed.owners.url","Owners XML link"
938,"account/marketplaces","feed.properties.url","Properties XML link"
934,"account/marketplaces","forget.button","Disconnect"
935,"account/marketplaces","forget.warning","Are you sure you want to disconnect your properties from this platform?"
929,"account/marketplaces","h1","Exports"
937,"account/marketplaces","instructions","Instructions"
1369,"account/marketplaces","limit","Limit"
1257,"account/marketplaces","marketplaces.configuration.fields.account_id","Account ID"
1378,"account/marketplaces","maxproperties.error","The property limit for this feed has been reached: :maxproperties."
1377,"account/marketplaces","maxproperties.helper","<p>Select the maximun number of properties you wish to allow for this feed.</p>									<p>Leave empty to allow unlimited properties.</p>"
1376,"account/marketplaces","maxproperties.title","Limit properties in this feed"
1381,"account/marketplaces","properties","Properties"
1383,"account/marketplaces","properties.enabled","Enabled in web"
1382,"account/marketplaces","properties.published","Enabled in export"
1384,"account/marketplaces","properties.toall","This property in included in all exports"
931,"account/marketplaces","title","Name"
1372,"account/marketplaces","updated","Last updated"
1387,"account/menu","calendar","Calendar"
51,"account/menu","customers","Leads"
48,"account/menu","data","My account"
1385,"account/menu","data.accounts","My email accounts"
1386,"account/menu","data.signatures","My signatures"
50,"account/menu","employees","Agents"
928,"account/menu","marketplaces","Exports"
49,"account/menu","properties","Properties"
52,"account/menu","reports","Reports"
54,"account/menu","reports.agents","Agents"
55,"account/menu","reports.leads","Leads"
53,"account/menu","reports.properties","Properties"
1847,"account/menu","reports.referers","Referers"
56,"account/menu","site","Site"
57,"account/menu","site.configuration","Configuration"
1389,"account/menu","site.countries","Countries"
1388,"account/menu","site.domainname","Domain name"
59,"account/menu","site.menus","Menus"
60,"account/menu","site.pages","Pages"
1297,"account/menu","site.priceranges","Price ranges"
1773,"account/menu","site.sliders","Sliders"
58,"account/menu","site.widgets","Widgets"
751,"account/menu","tickets","Tickets"
1635,"account/menu","web","View website"
1911,"account/payment","cc.update.button","Continue"
1910,"account/payment","cc.update.intro","<p>For security reasons, we do not store your credit card information in our database.</p>								<p>To process our payments we use Stripe, a very secure payment gateway that utilizes several tools to prevent fraud.</p>								<p>For more information on Stripe, please visit <a href=\"https://stripe.com\" target=\"_blank\">www.stripe.com</a>.</p>"
1912,"account/payment","cc.update.label","Update card details"
1913,"account/payment","cc.update.success","Your credit card details were successfully updated"
1909,"account/payment","cc.update.title","Update credit card details"
1225,"account/payment","data","My information"
1200,"account/payment","invoices","My invoices"
1224,"account/payment","invoices.amount","Amount"
1201,"account/payment","invoices.empty","No invoices found."
1223,"account/payment","invoices.reference","Referene"
1222,"account/payment","invoices.uploaded_at","Date"
1234,"account/payment","invoicing.created","Tha plan upgrade request is being processed"
1233,"account/payment","invoicing.title","Invoicing data"
1298,"account/payment","invoicing.transfer.created","<h4>Thanks for choosing the direct debit payment method.</h4><p>We have received all the information we require to initiate the payment process.</p><p>We will contact you as soon as possible.</p>"
1236,"account/payment","invoicing.transfer.intro","<p>We are now verifying the payment information you provided. We will let you know when we are done with it and you will be able to enjoy your chose plan (:plan - :price_text).</p>"
1235,"account/payment","invoicing.updated","The plan upgrade was successfully processed"
875,"account/payment","method.account","Bank account"
841,"account/payment","method.change","Change method"
838,"account/payment","method.h1","Payment method"
839,"account/payment","method.stripe","Credit card"
1908,"account/payment","method.stripe.retry","Retry payment"
1907,"account/payment","method.stripe.update","Update"
840,"account/payment","method.transfer","Direct debit"
835,"account/payment","plan.h1","Current plan"
1905,"account/payment","plan.last.charge.attempt","Last charge attempt"
1906,"account/payment","plan.last.charge.warning","<p>All attempts to make the payment have failed.</p>										<p>Please update your card details and try to make the payment again.</p>										<p>If the problem persists, contact us.</p>"
1247,"account/payment","plan.next.charge","Next charge"
1245,"account/payment","plan.price","Price"
836,"account/payment","plan.show","Show plans"
837,"account/payment","plan.upgrade","Upgrade plan"
873,"account/payment","plan.upgrade.simple","Upgrade"
1246,"account/payment","plan.valid.from","Start date"
1208,"account/payment","plans","My plan"
1253,"account/payment","plans.cancel.success","The request was successfully canceled"
1252,"account/payment","plans.cancel.warning","Are you sure you want to cancel this request?"
1211,"account/payment","plans.pending.button","Pay now"
1251,"account/payment","plans.pending.cancel","Cancel request"
1210,"account/payment","plans.pending.stripe","<p>You have a plan upgrade request pending:</p>									<ul>										<li>Plan: :plan</li>										<li>:paymethod</li>									</ul>"
1209,"account/payment","plans.pending.transfer","<p>We are still confirming the payment information you provided us when requesting the plan upgrade:</p>									<ul>										<li>Plan: :plan</li>										<li>:paymethod</li>									</ul>									<p>We will let you know as soon as possible.</p>"
1918,"account/payment","retry.empty","We were unable to find any invoices associated to this account"
1917,"account/payment","retry.error","There was an error when paying the latest invoice"
1915,"account/payment","retry.paid","The latest invoice is already paid"
1916,"account/payment","retry.success","The latest invoice was successfully paid"
1914,"account/payment","retry.title","Retry latest invoice payment"
874,"account/payment","upgrade.select","Select your plan"
877,"account/payment","upgrade.success.payment","The payment information was successfully updated."
876,"account/payment","upgrade.success.plan","Your plan was successfully updated."
1303,"account/priceranges","button.new","Add range"
1302,"account/priceranges","empty","No ranges found"
1737,"account/priceranges","form.delete.intro","<p>Are you sure you want to remove this price range? This action cannot be undone...</p>"
1738,"account/priceranges","form.delete.success","The price range was successfully deleted."
1736,"account/priceranges","form.delete.title","Delete price range"
1307,"account/priceranges","form.from","From"
1308,"account/priceranges","form.till","Until"
1306,"account/priceranges","form.title","Title"
1305,"account/priceranges","form.title.edit","Edit price range"
1304,"account/priceranges","form.title.new","New price range"
1299,"account/priceranges","h1","Price ranges"
1301,"account/priceranges","rent","Rent"
1300,"account/priceranges","sale","Sale"
1403,"account/profile","accounts.button.new","Create account"
1405,"account/profile","accounts.delete.warning","Are you sure you want to delete this account?"
1404,"account/profile","accounts.deleted","The account was successfully deleted."
1402,"account/profile","accounts.empty","No accounts found"
1408,"account/profile","accounts.field.email","Sender email"
1409,"account/profile","accounts.field.host","Host"
1414,"account/profile","accounts.field.layer","Layer"
1407,"account/profile","accounts.field.name","Sender name"
1411,"account/profile","accounts.field.password","Password"
1412,"account/profile","accounts.field.password.helper","Leave empty to keep current password"
1413,"account/profile","accounts.field.port","Port"
1406,"account/profile","accounts.field.protocol","Protocol"
1410,"account/profile","accounts.field.username","Username"
1400,"account/profile","accounts.h1.create","Create account"
1401,"account/profile","accounts.h1.edit","Edit account"
1415,"account/profile","accounts.test","Test stored configuration"
1416,"account/profile","accounts.tested","The configuration was successfully tested"
63,"account/profile","email","Email"
61,"account/profile","h1","Your information"
1097,"account/profile","image","Image"
1100,"account/profile","image.helper","<p>Recommended size: 75x75 pixels.</p><p>Accepted formats: JPG, GIF, PNG</p><p>Images that do not have a square shape will be cropped.</p>"
1096,"account/profile","linkedin","LinkedIn profile url"
64,"account/profile","locale","Language"
67,"account/profile","message.saved","Your information was successfully saved"
62,"account/profile","name","Name"
65,"account/profile","password","Password"
66,"account/profile","password.helper","Leave empty to keep current password"
1095,"account/profile","phone","Mobile phone"
1099,"account/profile","signature","Embed signature on tickets responses?"
1394,"account/profile","signatures.button.new","Create signature"
1396,"account/profile","signatures.delete.warning","Are you sure you want to delete this signature?"
1395,"account/profile","signatures.deleted","The signature was successfully deleted."
1393,"account/profile","signatures.empty","No signatures found"
1398,"account/profile","signatures.field.default","Use as default"
1399,"account/profile","signatures.field.signature","Signature"
1397,"account/profile","signatures.field.title","Title"
1390,"account/profile","signatures.h1","My signatures"
1391,"account/profile","signatures.h1.create","Create signature"
1392,"account/profile","signatures.h1.edit","Edit signature"
111,"account/properties","address","Address","Adresse"
737,"account/properties","address.block","Block","Bloc"
740,"account/properties","address.door","Door",Porte"
739,"account/properties","address.floor","Floor","Étage"
736,"account/properties","address.number","Number","Numéro"
738,"account/properties","address.stair","Stair","Escalier"
735,"account/properties","address.street","Street","Rue"
734,"account/properties","address.type","Type","Type"
1834,"account/properties","attributes.habitaclia-city","City",Ville"
1644,"account/properties","attributes.yaencontre-city","City (yaencotre)","Ville (ya encontre)"
1592,"account/properties","balcony_area","Balcony area","Balcon"
1417,"account/properties","bank_owned","Bank ownership","Banque propiétaire"
1587,"account/properties","basement_area","Basement area","Sous-sol"
82,"account/properties","baths","Number of bathrooms","Nombre de salles de bain"
1580,"account/properties","bedrooms","Number of bedroms","Nombre de chambres"
1586,"account/properties","buildable_area","Buildable area","Zone constructible"
1574,"account/properties","building_condition","Building condition","État du bâtiment"
70,"account/properties","button.new","New property","Nouvelle propiété"
119,"account/properties","characteristics","Tags","Mots clés"
109,"account/properties","city","City","Ville"
1830,"account/properties","column.address","Address","Addresse"
73,"account/properties","column.created","Created","Créé"
72,"account/properties","column.location","Location","Emplacement"
1874,"account/properties","column.price","Price","Prix"
71,"account/properties","column.title","Property","Propiété"
1568,"account/properties","commercial_enabled","Commercial enabled","Commercial"
1575,"account/properties","condition.excelent","Excelent","Excellent"
1577,"account/properties","condition.good","Good","Bien"
1578,"account/properties","condition.modderate","Modderate","Modéré"
1579,"account/properties","condition.poor","Poor","Pauvre"
1576,"account/properties","condition.very_good","Very good","Très bon"
1593,"account/properties","construction_year","Construction year","Année de construction"
107,"account/properties","country","Country","Pays"
1582,"account/properties","covered_area","Covered area",Surface couverte"
95,"account/properties","create.title","New property","Nouvelle propiété"
136,"account/properties","created","The property was successfully created","La propiété a été créé avec succès"
78,"account/properties","currency","Currency","Devise"
138,"account/properties","delete","Are you sure you want to permanently delete this property?","Voulez-vous vraiment supprimer définitivement cette propiété?"
139,"account/properties","deleted","The property was successfully deleted","La propiété a été supprimée"
118,"account/properties","description","Description","Desciption"
1768,"account/properties","discount","Discount","Rabais"
1770,"account/properties","discount_show","Show discount","Montrer le rabais"
110,"account/properties","district","District","Zone - Quartier"
1877,"account/properties","districts.create","New district","Nouveau quartier"
1880,"account/properties","districts.create.title","Create district","Créer quartier"
1884,"account/properties","districts.delete","Are you sure you want to remove this district?"
1878,"account/properties","districts.deleted","The district was successfully deleted"
1881,"account/properties","districts.edit.title","Edit district"
1885,"account/properties","districts.empty","No distrincts created"
1882,"account/properties","districts.general","General"
1876,"account/properties","districts.h1","Districts"
1883,"account/properties","districts.message.saved","The district was successfully saved"
1879,"account/properties","districts.name","Name"
1083,"account/properties","documents.appraisal.value","Appraisal value"
1082,"account/properties","documents.appraiser","Appraiser"
1081,"account/properties","documents.date","Date"
1086,"account/properties","documents.delete.success","The document has been successfully deleted"
1085,"account/properties","documents.delete.warning","Are you sure you want to delete this document for good?"
1089,"account/properties","documents.description","Description"
1084,"account/properties","documents.file","Document"
1080,"account/properties","documents.new","New document"
1079,"account/properties","documents.none","No documents found"
1088,"account/properties","documents.title","Title"
96,"account/properties","edit.title","Edit property"
140,"account/properties","edit.view","Property view"
1851,"account/properties","email.price.fall","The price of the property :title \":reference\" has dropped. Current price is :current."
1850,"account/properties","email.price.fall.intro","Hello, :name"
1852,"account/properties","email.price.fallen.subject","The price of the property \":reference\" has dropped"
1873,"account/properties","email.sold.body","Contact with us if you want to get more information about other avaiable properties of your interest."
1872,"account/properties","email.sold.intro","Hello, :name"
1871,"account/properties","email.sold.subject","Property \":title\" \":reference\" was sold"
134,"account/properties","employees.associate","Add agent"
135,"account/properties","employees.associated","Agent was successfully added"
131,"account/properties","employees.dissociate","Remove"
132,"account/properties","employees.dissociate.confirm","Are you sure you want to remove this agent?"
133,"account/properties","employees.dissociated","The agent was successfully removed"
130,"account/properties","employees.email","Email"
129,"account/properties","employees.employee","Name"
128,"account/properties","employees.empty","No agents found"
69,"account/properties","empty","No properties found"
83,"account/properties","enabled","Enabled"
84,"account/properties","enabled.not","Disabled"
92,"account/properties","energy.certificate","Energy certificate"
93,"account/properties","energy.certificate.pending","In process"
94,"account/properties","energy.certificate.pending.full","Energy certificate in process"
1590,"account/properties","expenses","Expenses (monthly)"
114,"account/properties","geolocate","Geolocate"
115,"account/properties","geolocate.missing","Address could not be geolocated"
68,"account/properties","h1","Properties"
85,"account/properties","highlighted","Highlighted"
86,"account/properties","highlighted.not","Not highlighted"
1739,"account/properties","home.slider","In home"
1740,"account/properties","image","Image"
124,"account/properties","images.delete","Are you sure you want to permanently delete this image?"
126,"account/properties","images.dropzone.error.size","Image is bigger than :IMAGE_MAXSIZE kilobytes"
125,"account/properties","images.dropzone.helper","Drop files or click to upload"
127,"account/properties","images.dropzone.nicename","The image"
122,"account/properties","images.empty","This property has no images"
1928,"account/properties","images.empty.error","You must include at least one image"
120,"account/properties","images.gallery","Image gallery"
123,"account/properties","images.helper","<p>We support JPG, PNG and GIF formats.</p><p>Images bigger than :IMAGE_MAXSIZE kilobytes will not be uploaded.</p>"
121,"account/properties","images.upload","Image upload"
1743,"account/properties","imports.create","New import"
1751,"account/properties","imports.created","The import process is running. You can check its status in this page."
1752,"account/properties","imports.csv.header","Do not modify or delete the top 3 rows."
1755,"account/properties","imports.csv.instructions.column","Column"
1754,"account/properties","imports.csv.instructions.intro","<ul>												<li>Do not modify the CSV file headers.</li>												<li>Do not leave empty lines. The import routine ends when an empty line is found.</li>												<li>You must respect the field options, including uppercase/lowercase (see table below).</li>											</ul>"
1758,"account/properties","imports.csv.instructions.options","Options"
1757,"account/properties","imports.csv.instructions.required","Required"
1753,"account/properties","imports.csv.instructions.title","Instructions"
1756,"account/properties","imports.csv.instructions.type","Type"
1771,"account/properties","imports.data_structure","Data structure"
1746,"account/properties","imports.date","Date"
1747,"account/properties","imports.file","File"
1772,"account/properties","imports.file_upload","Upload file"
1748,"account/properties","imports.file.error.type","Please select a CSV file"
1749,"account/properties","imports.file.error.upload","There was an error while uploading the file"
1741,"account/properties","imports.h1","Import properties"
1742,"account/properties","imports.intro","<p>If you already have a catalog of properties, you can load it quickly using a CSV file.</p>"
1750,"account/properties","imports.status","Status"
1744,"account/properties","imports.version","Version"
1745,"account/properties","imports.version.sample","Download sample file"
90,"account/properties","label","Label"
112,"account/properties","lat","Latitude"
113,"account/properties","lng","Longitude"
1947,"account/properties","location.district","District"
177,"account/properties","logs.action","Action"
174,"account/properties","logs.date","Date"
172,"account/properties","logs.empty","No logs found."
173,"account/properties","logs.empty.details","There are no details for this log"
171,"account/properties","logs.loading","Loading"
175,"account/properties","logs.responsible","Responsible"
176,"account/properties","logs.responsible.unknown","---"
179,"account/properties","logs.type.created","Property created"
181,"account/properties","logs.type.deleted","Property deleted"
180,"account/properties","logs.type.updated","Property updated"
183,"account/properties","logs.value.new","New value"
182,"account/properties","logs.value.old","Old value"
178,"account/properties","logs.view","View log"
1585,"account/properties","lot_area","Lot area"
942,"account/properties","marketplaces.error","This property cannot be published in this marketplace:"
941,"account/properties","marketplaces.intro","Please check those marketplaces where you wish to publish this property."
1419,"account/properties","marketplaces.toall","Include this property in all exports"
1588,"account/properties","mezzanine_area","Mezzanine area","Entresol"
76,"account/properties","mode","Mode","Mode"
682,"account/properties","new.item","New property","Nouvelle propiété"
87,"account/properties","newly_build","New construction","Nouvelle construction"
683,"account/properties","opportunity","Opportunity","Opportunité"
77,"account/properties","price","Price","Prix"
1769,"account/properties","price_before","Old price","Ancien prix"
693,"account/properties","price.max","Price max","Prix max"
692,"account/properties","price.min","Price min","Prix min"
1418,"account/properties","private_owned","Private ownership","Propiété `rivée"
1567,"account/properties","professional_enabled","Professional enabled"
1573,"account/properties","property_condition","Property condition","État de la propiété"
1569,"account/properties","property_disposal","Property disposal","Disposition de propriété"
1571,"account/properties","property_disposal.back","Back","Arrière"
1570,"account/properties","property_disposal.front","Front","Avant"
1572,"account/properties","property_disposal.internal","Internal", Interieur"
74,"account/properties","ref","Reference","Référence"
1848,"account/properties","rent","Rent","Location"
81,"account/properties","rooms","Number of rooms","Nombre de chambres"
1849,"account/properties","sale","Sale",Vente"
137,"account/properties","saved","The property was successfully updated","La propiété a été mise à jour avec succès"
88,"account/properties","second_hand","Second hand","Seconde main"
1583,"account/properties","semi_covered_area","Semi covered area (Semi covered patio and terraces)","Zone semi couverte (Semi-couvert patio et terraces)"
89,"account/properties","services","Services","Services"
91,"account/properties","show_address","Show address","Montrer l'adesse"
188,"account/properties","show.kpis.closed.by","Closed by","Fermé par"
187,"account/properties","show.kpis.days","Days to close","Jours pour fermer"
186,"account/properties","show.kpis.discount","Discount over initial price","Réduction sur le prix initial"
185,"account/properties","show.kpis.leads","Leads to close"
184,"account/properties","show.kpis.none","There is no data for this property"
744,"account/properties","show.leads.add","Add lead"
743,"account/properties","show.leads.empty","No leads found"
154,"account/properties","show.property.catch.actions","Options"
157,"account/properties","show.property.catch.actions.close","Close transaction"
155,"account/properties","show.property.catch.actions.create","Add transaction"
156,"account/properties","show.property.catch.actions.edit","Modify transaction"
142,"account/properties","show.property.catch.close","Close transaction"
148,"account/properties","show.property.catch.close.responsible","Responsible"
144,"account/properties","show.property.catch.date","Acquisition date"
141,"account/properties","show.property.catch.edit","Edit property"
145,"account/properties","show.property.catch.employee","Acquired by"
143,"account/properties","show.property.catch.none","There is no catch / sale / rent data for this property"
149,"account/properties","show.property.catch.status","Status"
150,"account/properties","show.property.catch.status.cancel","Cancelled"
153,"account/properties","show.property.catch.status.other","Other"
152,"account/properties","show.property.catch.status.rent","Rented"
151,"account/properties","show.property.catch.status.sold","Sold"
1594,"account/properties","show.property.catch.status.transfer","Transfered"
146,"account/properties","show.property.catch.success","Data was succesfully saved"
147,"account/properties","show.property.catch.transaction.date","Close date"
1649,"account/properties","show.property.comment.button","Save comment"
